# train length : 91
[i] iter = 204000, loss = 0.0063, train_time = 9sec
[i] iter = 205000, loss = 0.0059, train_time = 8sec
[i] iter = 206000, loss = 0.0060, train_time = 9sec
[i] iter = 207000, loss = 0.0061, train_time = 9sec
[i] iter = 208000, loss = 0.0062, train_time = 8sec
[i] iter = 209000, loss = 0.0061, train_time = 9sec
[i] iter = 210000, loss = 0.0061, train_time = 9sec
[i] iter = 211000, loss = 0.0060, train_time = 9sec
[i] iter = 212000, loss = 0.0062, train_time = 9sec
[i] iter = 213000, loss = 0.0061, train_time = 9sec
[i] iter = 214000, loss = 0.0061, train_time = 9sec
[i] iter = 215000, loss = 0.0061, train_time = 8sec
[i] iter = 216000, loss = 0.0060, train_time = 9sec
[i] iter = 217000, loss = 0.0061, train_time = 9sec
[i] iter = 218000, loss = 0.0059, train_time = 9sec
[i] iter = 219000, loss = 0.0061, train_time = 9sec
[i] iter = 220000, loss = 0.0062, train_time = 8sec
[i] iter = 221000, loss = 0.0060, train_time = 9sec
[i] iter = 222000, loss = 0.0060, train_time = 9sec
[i] iter = 223000, loss = 0.0061, train_time = 9sec
[i] iter = 224000, loss = 0.0061, train_time = 9sec
[i] iter = 225000, loss = 0.0063, train_time = 8sec
[i] iter = 226000, loss = 0.0060, train_time = 9sec
[i] iter = 227000, loss = 0.0061, train_time = 9sec
[i] iter = 228000, loss = 0.0059, train_time = 9sec
[i] iter = 229000, loss = 0.0062, train_time = 8sec
[i] iter = 230000, loss = 0.0060, train_time = 8sec
[i] iter = 231000, loss = 0.0061, train_time = 9sec
[i] iter = 232000, loss = 0.0062, train_time = 8sec
[i] iter = 233000, loss = 0.0061, train_time = 9sec
[i] iter = 234000, loss = 0.0062, train_time = 9sec
[i] iter = 235000, loss = 0.0062, train_time = 9sec
[i] iter = 236000, loss = 0.0059, train_time = 9sec
[i] iter = 237000, loss = 0.0060, train_time = 9sec
[i] iter = 238000, loss = 0.0060, train_time = 9sec
[i] iter = 239000, loss = 0.0059, train_time = 9sec
[i] iter = 240000, loss = 0.0061, train_time = 9sec
[i] iter = 241000, loss = 0.0062, train_time = 9sec
[i] iter = 242000, loss = 0.0062, train_time = 9sec
[i] iter = 243000, loss = 0.0060, train_time = 8sec
[i] iter = 244000, loss = 0.0060, train_time = 8sec
[i] iter = 245000, loss = 0.0058, train_time = 9sec
[i] iter = 246000, loss = 0.0061, train_time = 9sec
[i] iter = 247000, loss = 0.0060, train_time = 8sec
[i] iter = 248000, loss = 0.0060, train_time = 8sec
[i] iter = 249000, loss = 0.0060, train_time = 9sec
[i] iter = 250000, loss = 0.0060, train_time = 8sec
[i] iter = 251000, loss = 0.0061, train_time = 9sec
[i] iter = 252000, loss = 0.0060, train_time = 8sec
[i] iter = 253000, loss = 0.0061, train_time = 9sec
[i] iter = 254000, loss = 0.0061, train_time = 9sec
[i] iter = 255000, loss = 0.0060, train_time = 8sec
[i] iter = 256000, loss = 0.0059, train_time = 9sec
[i] iter = 257000, loss = 0.0061, train_time = 8sec
[i] iter = 258000, loss = 0.0060, train_time = 9sec
[i] iter = 259000, loss = 0.0060, train_time = 9sec
[i] iter = 260000, loss = 0.0060, train_time = 9sec
[i] iter = 261000, loss = 0.0062, train_time = 9sec
[i] iter = 262000, loss = 0.0060, train_time = 8sec
[i] iter = 263000, loss = 0.0060, train_time = 8sec
[i] iter = 264000, loss = 0.0059, train_time = 8sec
[i] iter = 265000, loss = 0.0060, train_time = 8sec
[i] iter = 266000, loss = 0.0061, train_time = 9sec
[i] iter = 267000, loss = 0.0061, train_time = 9sec
[i] iter = 268000, loss = 0.0059, train_time = 9sec
[i] iter = 269000, loss = 0.0060, train_time = 9sec
[i] iter = 270000, loss = 0.0059, train_time = 9sec
[i] iter = 271000, loss = 0.0061, train_time = 9sec
[i] iter = 272000, loss = 0.0061, train_time = 9sec
[i] iter = 273000, loss = 0.0058, train_time = 9sec
[i] iter = 274000, loss = 0.0061, train_time = 9sec
[i] iter = 275000, loss = 0.0062, train_time = 8sec
[i] iter = 276000, loss = 0.0060, train_time = 9sec
[i] iter = 277000, loss = 0.0059, train_time = 8sec
[i] iter = 278000, loss = 0.0060, train_time = 9sec
[i] iter = 279000, loss = 0.0061, train_time = 9sec
[i] iter = 280000, loss = 0.0059, train_time = 9sec
[i] iter = 281000, loss = 0.0060, train_time = 9sec
[i] iter = 282000, loss = 0.0061, train_time = 9sec
[i] iter = 283000, loss = 0.0059, train_time = 9sec
[i] iter = 284000, loss = 0.0060, train_time = 8sec
[i] iter = 285000, loss = 0.0060, train_time = 9sec
[i] iter = 286000, loss = 0.0061, train_time = 9sec
[i] iter = 287000, loss = 0.0059, train_time = 9sec
[i] iter = 288000, loss = 0.0060, train_time = 9sec
[i] iter = 289000, loss = 0.0060, train_time = 9sec
[i] iter = 290000, loss = 0.0060, train_time = 9sec
[i] iter = 291000, loss = 0.0059, train_time = 9sec
[i] iter = 292000, loss = 0.0060, train_time = 9sec
[i] iter = 293000, loss = 0.0059, train_time = 9sec
[i] iter = 294000, loss = 0.0060, train_time = 9sec
[i] iter = 295000, loss = 0.0062, train_time = 9sec
[i] iter = 296000, loss = 0.0059, train_time = 9sec
[i] iter = 297000, loss = 0.0060, train_time = 8sec
[i] iter = 298000, loss = 0.0060, train_time = 8sec
[i] iter = 299000, loss = 0.0060, train_time = 8sec
[i] iter = 300000, loss = 0.0059, train_time = 9sec
[i] iter = 301000, loss = 0.0058, train_time = 9sec
[i] iter = 302000, loss = 0.0061, train_time = 8sec
[i] iter = 303000, loss = 0.0060, train_time = 8sec
[i] iter = 304000, loss = 0.0059, train_time = 9sec
[i] iter = 305000, loss = 0.0060, train_time = 8sec
